,name,country,people,industry,web,logo,logo_url,logo_thumb,description,logo_url_local,logo_thumb_local,continent
<Japan_Post>,Japan Post,Japan,256572,courier,,,,,"Japan Post (日本郵政公社, Nippon Yūsei Kōsha) was a government-owned corporation in Japan that existed from 2003 to 2007, offering postal and package delivery services, banking services, and life insurance. It was the nation's largest employer, with over 400,000 employees, and ran 24,700 post offices throughout Japan. One third of all Japanese government employees worked for Japan Post. As of 2005, the President of the company was Masaharu Ikuta, formerly Chairman of Mitsui O.S.K. Lines Ltd.
Japan Post ran the world's largest postal savings system and was often said to be the largest holder of personal savings in the world: with ¥224 trillion ($2.1 trillion) of household assets in its yū-cho savings accounts, and ¥126 trillion ($1.2 trillion) of household assets in its kampo life insurance services; its holdings accounted for 25 percent of household assets in Japan. Japan Post also held about ¥140 trillion (one fifth) of the Japanese national debt in the form of government bonds.
On October 1, 2007, Japan Post was privatized following a fierce political debate that was settled by the general election of 2005. The major concern was Japan Post, with government backing, stymieing competition and giving politicians access to postal savings to fund pet projects. Japan post was split into three companies in 2007, intending to be privatized by 2017. Following privatization, Japan Post Holdings operate the postal business.
In 2010, privatization was put on hold. The Japanese Ministry of Finance remains the 100% shareholder. However, on October 26, 2012, the Japanese government unveiled plans to list shares of Japan Post Holdings within three years, partly to raise money for the reconstruction of areas devastated by the earthquake and tsunami of 2011.However, as of 2020, the government still holds 57% of shares, and March 2028 was announced as the target date of privatization.",,,Asia
<Hutchison_Whampoa>,Hutchison Whampoa,China,253983,conglomerate,http://www.hutchison-whampoa.com,,,,"Hutchison Whampoa Limited (HWL) was an investment holding company based in Hong Kong. It was a Fortune Global 500 company and one of the largest companies listed on the Hong Kong Stock Exchange. HWL was an international corporation with a diverse array of holdings which included the world's biggest port, and telecommunication operations in 14 countries that were run under the 3 brand. Its businesses also included retail, property development and infrastructure. 
It was 49.97% owned by the Cheung Kong Group until 3 June 2015, when the company merged with the Cheung Kong Group as part of a major reorganisation of the group's businesses. The combined business was renamed CK Hutchison Holdings Limited.",,,Asia
<JPMorgan_Chase>,JPMorgan Chase,United States,250355,banking,http://www.jpmorganchase.com,,,,"JPMorgan Chase & Co. is an American multinational investment bank and financial services holding company headquartered in New York City. JPMorgan Chase is ranked by S&P Global as the largest bank in the United States and the seventh largest bank in the world by total assets, with total assets of US$2.687 trillion. It is also the world's most valuable bank by market capitalization. JPMorgan Chase is incorporated in Delaware.As a ""Bulge Bracket"" bank, it is a major provider of various investment banking and financial services. It is one of America's Big Four banks, along with Bank of America, Citigroup, and Wells Fargo. JPMorgan Chase is considered to be a universal bank and a custodian bank. The J.P. Morgan brand, is used by the investment banking, asset management, private banking, private wealth management, and treasury services divisions. Fiduciary activity within private banking and private wealth management is done under the aegis of JPMorgan Chase Bank, N.A.—the actual trustee. The Chase brand is used for credit card services in the United States and Canada, the bank's retail banking activities in the United States, and commercial banking. Both the retail and commercial bank and the bank's corporate headquarters are currently located at 383 Madison Avenue in Midtown Manhattan, New York City, while the prior headquarters building directly across the street, 270 Park Avenue, is demolished and replaced with a new building. The current company was originally known as Chemical Bank, which acquired Chase Manhattan and assumed that company's name. The present company was formed in 2000, when Chase Manhattan Corporation merged with J.P. Morgan & Co.As of 2019, the asset management arm of the bank has US$2.988 trillion in assets under management, while its investment and corporate bank arm holds US$25.45 trillion in assets under custody. At US$45.0 billion in assets under management, the hedge fund unit of JPMorgan Chase is the third largest hedge fund in the world.",,,North America
<Safeway_Inc.>,Safeway Inc.,United States,250000,retail,http://www.safeway.com/,Safeway Logo.svg,https://upload.wikimedia.org/wikipedia/commons/c/ce/Safeway_Logo.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Safeway_Logo.svg/150px-Safeway_Logo.svg.png,"Safeway is an American supermarket chain founded by Marion Barton Skaggs in April 1915 in American Falls, Idaho. The chain provides grocery items, food and general merchandise and feature a variety of specialty departments, such as bakery, delicatessen, floral and pharmacy, as well as Starbucks coffee shops and fuel centers. It is a subsidiary of Albertsons after being acquired by private equity investors led by Cerberus Capital Management in January 2015. Safeway's primary base of operations is in the west with some stores located in the Mid-Atlantic region of the Eastern Seaboard. The subsidiary is headquartered in Pleasanton, California, with its parent company, Albertsons, headquartered in Boise, Idaho.
Safeway stores operate under the logo of a stylized white ""S"" inside a rounded red square with the slogan ""Ingredients for life"". Following the organics trend, the stores have expanded the number of organic fruits and vegetables in the produce section and offer other items under the ""O Organics"" label. Stores may have a Starbucks, a deli counter, a meat department, a produce section, a flower department, a bakery, a pharmacy, a liquor section, and/or many aisles of nonperishable items. The stores offer many in-house private label brands as well as name brands across all product categories.",00011.svg,00017.png,North America
<Edeka>,Edeka,Germany,250000,retail,http://www.edeka.de,,,,"The Edeka Group is the largest German supermarket corporation as of 2017, holding a market share of 20.3%. Founded in 1898, it consists today of several cooperatives of independent supermarkets all operating under the umbrella organisation Edeka Zentrale AG & Co KG, with headquarters in Hamburg. There are approximately 4,100 stores with the Edeka nameplate that range from small corner stores to hypermarkets. On November 16, 2007, Edeka reached an agreement with Tengelmann to purchase a 70% majority stake in Tengelmann's Plus discounter store division, which was then merged into Edeka's Netto brand, with some 4,200 stores by 2018. Under all brands the company operated a total of 13,646 stores at the end of 2017.",,,Europe
<China_Railway_Construction_Corporation_Limited>,China Railway Construction Corporation Limited,China,249624,construction,http://www.crcc.cn/,,,,,,,Asia
<Panasonic>,Panasonic,Japan,249520,home appliances,http://www.panasonic.com/global/home.html,,,,"Panasonic Corporation (パナソニック株式会社, Panasonikku Kabushiki-gaisha), formerly known as the Matsushita Electric Industrial Co., Ltd. (松下電器産業株式会社, Matsushita Denki Sangyō Kabushiki-gaisha), founded in 1918 as a lightbulb socket manufacturer, is a major Japanese multinational electronics company, headquartered in Kadoma, Osaka. In addition to consumer electronics of which it had been the world's largest maker in the late 20th century, Panasonic offers a wide range of products and services, including rechargeable batteries, automotive and avionic systems, as well as home renovation and construction.Panasonic has a primary listing on the Tokyo Stock Exchange and is a constituent of the Nikkei 225 and TOPIX indices. It has a secondary listing on the Nagoya Stock Exchange.",,,Asia
<FEMSA>,FEMSA,Mexico,246158,beverage,http://www.femsa.com/en,,,,"Fomento Económico Mexicano, S.A.B. de C.V., doing business as FEMSA, is a Mexican multinational beverage and retail company headquartered in Monterrey, Mexico. It integrates the largest independent Coca-Cola bottling group in the world and the largest convenience store chain in Mexico. It is also the second largest shareholder of Heineken N.V..
FEMSA reported revenues of US$26.9 billion for 2019, making it the fifth largest company of Mexico. It has operations in Latin America mainly through bottling plants, convenience stores, drugstores, fuel stations, and third-party logistic services, and in the United States, where it participates in the jan-san distribution industry. It is well known in Mexico for its convenience store chain Oxxo, it previously owned Cuauhtémoc Moctezuma Brewery (exchanged in 2010 for a 20% stake in Heineken), and for being the owner of the C.F. Monterrey, a Mexican First-Division football team.
FEMSA has been listed  on the Mexican Stock Exchange since 1978 and on the NYSE through ADRs since 1998. It is a constituent of the IPC, the main benchmark index of the Mexican Stock Exchange, and of the S&P Latin America 40, which includes leading, blue chip companies from Latin America.",,,Central America
<Deloitte>,Deloitte,United States,244400,professional services,,Deloitte.svg,https://upload.wikimedia.org/wikipedia/commons/5/56/Deloitte.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Deloitte.svg/150px-Deloitte.svg.png,"Deloitte Touche Tohmatsu Limited  , commonly referred to as Deloitte, is a multinational professional services network. Deloitte is one of the Big Four accounting organizations and the largest professional services network in the world by revenue and number of professionals, with headquarters in London, United Kingdom.The firm was founded by William Welch Deloitte in London in 1845 and expanded into the United States in 1890. It merged with Haskins & Sells to form Deloitte Haskins & Sells in 1972 and with Touche Ross in the US to form Deloitte & Touche in 1989. In 1993, the international firm was renamed Deloitte Touche Tohmatsu, later abbreviated to Deloitte. In 2002, Arthur Andersen's practice in the UK as well as several of that firm's practices in Europe and North and South America agreed to merge with Deloitte. Subsequent acquisitions have included Monitor Group, a large strategy consulting business, in January 2013. The international firm is a UK private company, limited by guarantee, supported by a network of independent legal entities.Deloitte provides audit, consulting, financial advisory, risk advisory, tax and legal services with approximately 312,000 professionals globally. In FY 2019, the network earned a record US$46.2 billion in aggregate revenues. As of 2019, Deloitte is the 4th-largest privately owned company in the United States. The firm has sponsored a number of activities and events including the 2012 Summer Olympics.Controversies involving the firm, in addition to litigation surrounding a few of its audits, have included its involvement in a ""potentially misleading"" report on illicit tobacco trading in Australia, the fact that it suffered a major cyber-attack which breached client confidentiality as well as exposing extensive employee information in September 2017, its role as internal auditor of the insolvent contractor Carillion and its role as external auditor of Autonomy which was accused of ""accounting improprieties"" that contributed to a £8.8 billion write-down of value following its acquisition by Hewlett-Packard in 2011.",00012.svg,00018.png,North America
<Starbucks>,Starbucks,United States,238000,coffee shop,http://www.starbucks.com/,File:Starbucks Corporation Logo 2011.svg,https://upload.wikimedia.org/wikipedia/en/d/d3/Starbucks_Corporation_Logo_2011.svg,https://upload.wikimedia.org/wikipedia/en/thumb/d/d3/Starbucks_Corporation_Logo_2011.svg/150px-Starbucks_Corporation_Logo_2011.svg.png,"Starbucks Corporation is an American multinational chain of coffeehouses and roastery reserves headquartered in Seattle, Washington. As the world's largest coffeehouse chain, Starbucks is seen to be the main representation of the United States' second wave of coffee culture. As of early 2020, the company operates over 30,000 locations worldwide in more than 70 countries. Starbucks locations serve hot and cold drinks, whole-bean coffee, microground instant coffee known as VIA, espresso, caffe latte, full- and loose-leaf teas including Teavana tea products, Evolution Fresh juices, Frappuccino beverages, La Boulange pastries, and snacks including items such as chips and crackers; some offerings (including their annual fall launch of the Pumpkin Spice Latte) are seasonal or specific to the locality of the store.
Headquartered in the Starbucks Center, the company was founded in 1971 by Jerry Baldwin, Zev Siegl, and Gordon Bowker at Seattle's Pike Place Market. During the early 1980s, they sold the company to Howard Schultz who – after a business trip to Milan, Italy – decided to make the coffee bean store a coffeeshop serving espresso-based drinks. Schultz's first tenure as chief executive, from 1986 to 2000, led to an aggressive expansion of the franchise, first in Seattle, then across the U.S. West Coast. Despite an initial economic downturn with its expansion into the Midwest and British Columbia, the company experienced revitalized prosperity with its entry into California in the early 1990s through a series of highly publicized coffee wars. Schultz was succeeded by Orin Smith who ran the company for five years, positioning Starbucks as a large player in fair trade coffee and increasing sales to $5 billion. Jim Donald served as chief executive from 2005 to 2008, orchestrating a large-scale earnings expansion. Schultz returned as CEO in the middle of the 2008 financial crisis and spent the succeeding decade growing its market share, expanding its offerings, and reorienting itself around corporate social responsibility. Kevin Johnson took over from Schultz in 2017, and continues to serve as the firm's chief executive.
Many stores sell pre-packaged food items, pastries, hot and cold sandwiches, and drinkware including mugs and tumblers. There are also several select ""Starbucks Evenings"" locations which offer beer, wine, and appetizers. Starbucks-brand coffee, ice cream, and bottled cold coffee drinks are also sold at grocery stores in the United States and other countries. In 2010, the company began its Starbucks Reserve program for single-origin coffees and high-end coffee shops. It planned to open 1,000 Reserve coffee shops by the end of 2017. Starbucks operates six roasteries with tasting rooms and 43 coffee bars as part of the program. The latest roastery location opened on Chicago's Magnificent Mile in November 2019, and is the world's largest Starbucks. The company has received significant and sustained criticism about its business practices, corporate affairs, and role in society. Conversely, its franchise has commanded substantial brand loyalty, market share, and company value.",00013.svg,00019.png,North America
<Ernst_&_Young>,Ernst & Young,United Kingdom,231000,professional services,,EY logo13.png,https://upload.wikimedia.org/wikipedia/commons/3/35/EY_logo13.png,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/EY_logo13.png/150px-EY_logo13.png,"Ernst & Young Global Limited, commonly known as Ernst & Young or simply EY, is a multinational professional services network with headquarters in London, United Kingdom.  EY is one of the largest professional services networks in the world. Along with Deloitte, KPMG and PricewaterhouseCoopers, it is considered one of the Big Four accounting firms. It primarily provides assurance (which includes financial audit), tax, consulting and advisory services to its clients. Like many of the larger accounting firms in recent years, EY has expanded into markets adjacent to accounting, including strategy, operations, HR, technology, and financial services consulting.EY operates as a network of member firms which are structured as separate legal entities in a partnership, which has over 270,000 employees in over 700 offices in 150 countries around the world. The firm's current partnership was formed in 1989 by a merger of two accounting firms; Ernst & Whinney and Arthur Young & Co. It was aptly named Ernst & Young until a rebranding campaign officially changed its name to EY in 2013, although this initialism was already used informally prior to its sanctioning adoption.
In 2019, EY was the seventh-largest privately owned organization in the United States. EY has continuously been ranked on Fortune magazine's list of the 100 Best Companies to Work For for the past 21 years, longer than any other accounting firm.",00007.png,00020.png,Europe
<Dashang_Group>,Dashang Group,China,230000,retail,http://www.dsjt.com,,,,"Dashang Group (Chinese: 大商集团), headquartered in Dalian, Liaoning Province, China, operates department stores, Xinmate (New Mart) supermarkets and other retail business. It is the largest retailer in Northeast China.",,,Asia
<Deutsche_Telekom>,Deutsche Telekom,Germany,226000,telecommunications,http://www.telekom.com,,,,"Deutsche Telekom AG (German pronunciation: [ˌdɔʏtʃə ˈteːləkɔm ʔaːˌɡeː] (listen); short form in writing only: DT; stylised as ·T···) is a German telecommunications company headquartered in Bonn and by revenue the largest telecommunications provider in Europe. Deutsche Telekom was formed in 1995, as the former state-owned monopoly Deutsche Bundespost was privatised. The company operates several subsidiaries worldwide, including the mobile communications brand T-Mobile.
As of April 2020, the German government holds a 14.5% stake in company stock directly, and another 17.4% through the government bank KfW. The company is a component of the EURO STOXX 50 stock market index.",,,Europe
<Fiat_Chrysler_Automobiles>,Fiat Chrysler Automobiles,Kingdom of the Netherlands,225587,print media,http://www.fcagroup.com/en-US/Pages/home.aspx,,,,"Fiat Chrysler Automobiles N.V., often abbreviated as FCA, is an American Italian multinational corporation and is the world's eighth largest auto maker. The group was established in October 2014 by merging Fiat and Chrysler into a new holding company. Fiat Chrysler Automobiles' corporate headquarters is domiciled in Amsterdam, and the financial headquarters are in London. The holding company is listed on the New York Stock Exchange and Milan's Borsa Italiana. Exor N.V., an Italian investment group controlled by the Agnelli family, owns 29.19% of FCA and controls 44.31% through a loyalty voting mechanism.FCA's mass-market brands operate through two main subsidiaries: FCA Italy (previously Fiat Group Automobiles SpA) headquartered in Turin; and FCA US (previously Chrysler Group LLC) headquartered in Auburn Hills, Michigan (part of Metro Detroit). The company's portfolio includes automotive brands Abarth, Alfa Romeo, Chrysler, Dodge, Fiat, Fiat Professional, Jeep, Lancia, Maserati, and Ram Trucks. Ferrari was spun off from the group in 2016. Today FCA operates in four global markets (NAFTA, LATAM, APAC, EMEA).On 31 October 2019, FCA announced intent to merge with Groupe PSA (owner of the Peugeot and Citroën brands among others). The merger would be on a 50-50 all stock basis. On 18 December 2019, FCA and PSA announced that they had agreed to the terms of a binding $50 billion merger, which as of mid-2020 was pending approval by European competition regulators. As of 16th July 2020, both companies decided to name the merged company ""Stellantis"".  The name Stellantis is derived from the Latin verb ""stello"" which means ""to brighten with stars"".
FCA also owns industrial subsidiaries Comau and Teksid.",,,Europe
<Fresenius_(company)>,Fresenius,Germany,223704,health care,http://www.fresenius.com,,,,"Fresenius SE & Co. KGaA is a health care company based in Bad Homburg vor der Höhe, Germany. It provides products and services for dialysis, in hospitals and  inpatient and outpatient medical care. It is involved in  hospital management and in engineering and services for medical centers and other health care facilities.
The company is ranked 258th on the Forbes Global 2000.",,,Europe
<PricewaterhouseCoopers>,PricewaterhouseCoopers,United Kingdom,223468,professional services,,PricewaterhouseCoopers Logo.svg,https://upload.wikimedia.org/wikipedia/commons/0/05/PricewaterhouseCoopers_Logo.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/PricewaterhouseCoopers_Logo.svg/150px-PricewaterhouseCoopers_Logo.svg.png,"PricewaterhouseCoopers is a multinational professional services network of firms headquartered in London, United Kingdom, operating as partnerships under the PwC brand. PwC ranks as the second-largest professional services network in the world and is considered one of the Big Four accounting firms, along with Deloitte, EY and KPMG.PwC firms operate in 157 countries, 742 locations, with 276,000 people. As of 2019, 26% of the workforce worked in the Americas, 26% in Asia, 32% in Western Europe and 5% in Middle East and Africa. The company's global revenues were $42.4 billion in FY 2019, of which $17.4 billion was generated by its Assurance practice, $10.7 billion by its Tax and Legal practice and $14.4 billion by its Advisory practice.The firm in its present form was created in 1998 by a merger between two accounting firms; Coopers & Lybrand, and Price Waterhouse. Both firms had histories dating back to the 19th century. The trading name was shortened to PwC (on-logo writing pwc) in September 2010 as part of a rebranding effort.PricewaterhouseCoopers International Limited, based in London, United Kingdom, is a co-ordinating entity for the global network of firms. It manages the global brand, and develops policies and initiatives, to create a common and coordinated approach in areas such as risk, quality, and strategy. It does not provide services to clients.As of 2019, PwC is the fifth-largest privately owned company in the United States.",00014.svg,00021.png,Europe
<Andrade_Gutierrez>,Andrade Gutierrez,Brazil,223000,conglomerate,http://www.andradegutierrez.com,Logotipo novo do Grupo Andrade Gutierrez.jpg,https://upload.wikimedia.org/wikipedia/commons/4/40/Logotipo_novo_do_Grupo_Andrade_Gutierrez.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Logotipo_novo_do_Grupo_Andrade_Gutierrez.jpg/150px-Logotipo_novo_do_Grupo_Andrade_Gutierrez.jpg,"Andrade Gutierrez is a Brazilian private multinational conglomerate headquartered in Belo Horizonte. The company was founded in 1948 in Belo Horizonte, Minas Gerais by the Andrade and Gutierrez families. As of 2013, Andrade Gutierrez is the second largest construction company in Brazil with branches in 44 countries and a net income of 8 billion BRL.Andrade Gutierrez has three separate divisions: AG Engenharia (Construtora Andrade Gutierrez), which engages in engineering and construction;  AG Concessões, which handles public projects, concessions and utilities; and AG Telecom, which provides telecommunication services. Ricardo Sera serves as president of Andrade Gutierrez.",00001.jpg,00001.jpg,South America
<LG_Corporation>,LG Corporation,South Korea,220000,conglomerate,,,,,"LG Corporation (Korean: 주식회사 LG), formerly Lucky-Goldstar (Korean: Leogki Geumseong; Korean: 럭키금성; Hanja: 樂喜金星), is a South Korean multinational conglomerate corporation. It is the fourth-largest chaebol in South Korea. Its headquarters are in the LG Twin Towers building in Yeouido-dong, Yeongdeungpo District, Seoul. LG makes electronics, chemicals, and telecommunications products and operates subsidiaries such as LG Electronics, Zenith, LG Display, LG Uplus,  LG Innotek and LG Chem in over 80 countries.",,,Asia
<Walmart_de_México_y_Centroamérica>,Walmart de México y Centroamérica,Mexico,219767,retail,http://www.walmartmexico.com.mx/,,,,"Walmart de México y Centroamérica, also known as Walmex, is the Mexican and Central American Walmart division. Walmart de México y Centroamérica is the Walmart's largest division outside the U.S. as of July 31, 2020, consists of 2,580 stores around the country, including 280 Walmart Supercenter stores and 163 Sam's Club stores. It has been traded in the Mexican Stock Exchange since 1977 (as Cifra). Walmart de México y Centroamérica is the biggest retailer in Latin America.
As of July 31, 2020, Walmart operated 2,580 retail outlets in Mexico, under the Walmart Supercenter, Superama, Sam's Club, Bodega Aurrerá, Mi Bodega Aurrera, and Bodega Aurrera Express banners. As of 2012, the company was Mexico's largest private sector employer with 209,000 employees. Approximately one-fifth of Walmart stores in the world are in Mexico. It competes with Soriana, Comercial Mexicana, Chedraui, H-E-B, Casa Ley, S-Mart and Calimax.
Walmex's restaurant division, Vips, was acquired by the Mexican restaurant company, Alsea, in September 2013 for around $626 million.",,,Central America
<China_Unicom>,China Unicom,China,214400,telecommunications,http://www.10010.com/,,,,"China United Network Communications Group Co., Ltd. (Chinese: 中国联合网络通信集团有限公司) or China Unicom (Chinese: 中国联通) (CUniq in short) is a Chinese state-owned telecommunications operator of China. China Unicom is the world's fourth-largest mobile service provider by subscriber base.Started as a wireless paging and GSM mobile operator, it currently provides a wide range of services including nationwide GSM mobile network, long-distance, local calling, data communication, Internet services, and IP telephony in mainland China. China Unicome has operated a CDMA network in Macau since October 18, 2006 and internet services in North Korea since 2010. As of the end of April 2008, the company had 125 million GSM subscribers and 43 million CDMA subscribers. As of November 2008 the CDMA operations have been moved to China Telecommunications Corporation (China Telecom Group). On 7 January 2009, China Unicom was awarded WCDMA license to expand its business to 3G telecommunication. UMTS (Universal Mobile Telecommunications System) was launched in major cities across China on May 17, 2009.On July 11 2020, China Unicom joined hands with LuHan to launch the ""FuLu Companion Card"", which sounded the forward number for the further development of 5G.  LuHan also officially unlocked his new identity and became a ""China Unicom Innovation Partner"", with the ""FuLu companion card"" to bring exclusive benefits and surprises to the majority of Unicom users.",,,Asia
<ACS_Group>,ACS Group,Spain,210345,civil engineering,http://www.grupoacs.com,,,,"ACS, Actividades de Construcción y Servicios, S.A. (Spanish pronunciation: [aθeˈese]) is a Spanish company dedicated to civil and engineering construction, all types services and telecommunications. It is one of the leading construction companies in the world, with projects in many countries around the world. The company was founded in 1997 through the merger of OCP Construcciones, S.A. and Ginés Navarro Construcciones, S.A.. The group has a global presence, including countries like Germany, India, Brazil, Chile, Morocco and Australia. The headquarters are in Madrid and the chairman is Florentino Pérez. Listed on the Bolsa de Madrid, the company's shares form part of the IBEX 35 stock market index.",,,Europe
<Bank_of_America>,Bank of America,United States,208000,banking,http://www.bankofamerica.com,,,,"The Bank of America Corporation (simply referred to as Bank of America, often abbreviated as BofA) is an American multinational investment bank and financial services holding company headquartered in Charlotte, North Carolina, with central hubs in New York City, London, Hong Kong, Dallas, and Toronto. Founded in San Francisco, Bank of America was formed through NationsBank's acquisition of BankAmerica in 1998. It is the second largest banking institution in the United States, after JPMorgan Chase, and the eighth largest bank in the world. Bank of America is one of the Big Four banking institutions of the United States. it services approximately 10.73% of all American bank deposits, in direct competition with JPMorgan Chase, Citigroup, and Wells Fargo. Its primary financial services revolve around commercial banking, wealth management, and investment banking.
One branch of its history stretches back to Bank of Italy, founded by Amadeo Pietro Giannini in 1904, which provided Italian immigrants who faced service discrimination various banking options. Originally headquartered in San Francisco, California, Giannini acquired Banca d'America e d'Italia (Bank of America and Italy) in 1922. The passage of landmark federal banking legislation facilitated a rapid growth in the 1950s, quickly establishing a prominent market share. After suffering a significant loss after the 1998 Russian bond default, BankAmerica, as it was then known, was acquired by the Charlotte-based NationsBank for US$62 billion. Following what was then the largest bank acquisition in history, the Bank of America Corporation was founded. Through a series of mergers and acquisitions, it built upon its commercial banking business by establishing Merrill Lynch for wealth management and Bank of America Merrill Lynch for investment banking in 2008 and 2009, respectively (since renamed BofA Securities).Both Bank of America and Merrill Lynch Wealth Management retain large market shares in their respective offerings. The investment bank is considered within the ""Bulge Bracket"" as the third largest investment bank in the world, as of 2018. Its wealth management side manages US$1.081 trillion in assets under management (AUM) as the second largest wealth manager in the world, after UBS. In commercial banking, Bank of America operates—but does not necessarily maintain retail branches—in all 50 states of the United States, the District of Columbia and more than 40 other countries. Its commercial banking footprint encapsulates 46 million consumer and small business relationships at 4,600 banking centers and 15,900 automated teller machines (ATMs).
The bank's large market share, business activities, and economic impact has led to numerous lawsuits and investigations regarding both mortgages and financial disclosures dating back to the 2008 financial crisis. Its corporate practices of servicing the middle class and wider banking community has yielded a substantial market share since the early 20th century. As of August 2018, Bank of America has a $313.5 billion market capitalization, making it the 13th largest company in the world. As the sixth largest American public company, it garnered $102.98 billion in sales as of June 2018. Bank of America was ranked #24 on the 2018 Fortune 500 rankings of the largest US corporations by total revenue. Bank of America was named the ""World's Best Bank"" by the Euromoney Institutional Investor in their 2018 Awards for Excellence.",,,North America
<Sumitomo_Electric_Industries>,Sumitomo Electric Industries,Japan,206323,non-ferrous metal,http://global-sei.com,,,,"Sumitomo Electric Industries, Ltd. (SEI) (住友電気工業株式会社, Sumitomo Denki Kōgyō) is a manufacturer of electric wire and optical fiber cables. Its headquarters are in Chūō-ku, Osaka, Japan. The company's shares are listed in the first section of the Tokyo, Nagoya Stock Exchanges, and the Fukuoka Stock Exchange. In the period ending March 2019, the company reported consolidated sales of US$29 billion (3,177,985million Japanese yen).
The company was founded in 1897 to produce copper wire for electrical uses.  Sumitomo operates in five business fields: Automotive, Information & Communications, Electronics, Environment & Energy, and Industrial materials and is developing in two others: Life Sciences and Materials & Resources.  It has more than 350 subsidiaries and over 270,000 employees in more than 30 countries.
Sumitomo Electric has traditionally had an intensive focus on R&D to develop new products.  Its technologies have been used in major projects including traffic control in Thailand, improvement of telecom networks in Nigeria, membrane technology for waste water treatment in Korea, and bridge construction in Germany.
Sumitomo Electric's electrical wiring harness systems, which are used to send information and energy to automobiles, hold the largest market share in the world. Sumitomo Electric also continues to be the leading manufacturer of composite semiconductors (GaAs, GaN, InP), which are widely used in semiconductor lasers, LEDs, and mobile telecommunications devices.  The company is one of the top three manufacturers in the world of optical fiber.",,,Asia
<Infosys>,Infosys,India,200364,it services,http://www.infosys.com/,,,,"Infosys Limited, is an Indian multinational corporation that provides business consulting, information technology and outsourcing services. The company is headquartered in Bangalore, Karnataka, India. Infosys is the second-largest Indian IT company after Tata Consultancy Services by 2017 revenue figures and the 596th largest public company in the world based on revenue. On 29 March 2019, its market capitalisation was $46.52 billion. The credit rating of the company is A− (rating by Standard & Poor's).",,,Asia
<Anheuser-Busch_InBev>,Anheuser-Busch InBev,Belgium,200000,beverages,http://www.ab-inbev.com,,,,,,,Europe
<Mahindra_Group>,Mahindra Group,India,200000,conglomerate,http://www.mahindra.com/,,,,"Mahindra Group is an Indian multinational conglomerate holding company headquartered in Mumbai, Maharashtra. It has operations in over 100 countries around the globe. The group has a presence in aerospace, agribusiness, aftermarket, automotive, components, construction equipment, defence, energy, farm equipment, finance and insurance, industrial equipment, information technology, leisure and hospitality, logistics, real estate, retail, and two wheelers.  It is considered to be one of the most reputable Indian industrial houses with market leadership in utility vehicles as well as tractors in India.",,,Asia
<Darden_Restaurants>,Darden Restaurants,United States,200000,restaurant,http://www.darden.com/,Darden logo.svg,https://upload.wikimedia.org/wikipedia/en/4/4c/Darden_logo.svg,https://upload.wikimedia.org/wikipedia/en/thumb/4/4c/Darden_logo.svg/150px-Darden_logo.svg.png,"Darden Restaurants, Inc. is an American multi-brand restaurant operator headquartered in Orlando. As of April 2017, the firm owns two fine dining restaurant chains: Eddie V's Prime Seafood and The Capital Grille; and six casual dining restaurant chains: Olive Garden, LongHorn Steakhouse, Bahama Breeze, Seasons 52,  Yard House and Cheddar's Scratch Kitchen. Until July 28, 2014, Darden also owned Red Lobster. Darden has more than 1,500 restaurant locations and more than 150,000 employees, making it the world's largest full-service restaurant company. As of 2018, Darden is the only Fortune 500 company with its corporate headquarters in Greater Orlando.",00015.svg,00022.png,North America
<Publix>,Publix,United States,200000,retail,http://www.publix.com/,,,,"Publix Super Markets, Inc., commonly known as Publix, is an employee-owned, American supermarket chain headquartered in Lakeland, Florida. Founded in 1930 by George W. Jenkins, Publix is a private corporation that is wholly owned by present and past employees and members of the Jenkins family. Publix operates throughout the Southeastern United States, with locations in Florida (813), Georgia (189), Alabama (78), South Carolina (64), Tennessee (46), North Carolina (46), and Virginia (16).Publix stands as one of the largest U.S. regional grocery chains. Locations are found as far north as Fredericksburg, Virginia, as far south as Key West, Florida, while the westernmost location is in Mobile, Alabama. Today, the state of Florida still has the largest number of stores, with 831, about two-thirds of the outlets. As of January 2019, Publix employs about 193,000 people at its 1,239 retail locations, cooking schools, corporate offices, 9 grocery distribution centers, and 11 manufacturing facilities. The manufacturing facilities produce its dairy, deli, bakery, and other food products. The company is the largest employee-owned company in the US.Publix was ranked No. 12 on Fortune magazine's list of 100 Best Companies to Work For in 2019, up from No. 47 in 2018, was ranked No. 7 on Forbes' 2017 list of America's Largest Private Companies, and is the largest in Florida. Fortune ranked Publix #1 on their 2018 list of World's Most Admired Companies in the Food & Drug Stores sector. The company's 2017 sales totaled US$34.6 billion, with profits of $2.3 billion, ranking No. 88 on Fortune magazine's Fortune 500 list of U.S. companies by revenue for 2017. According to the National Retail Federation, based on 2017 revenue, Publix is the fifteenth-largest U.S. retailer.In February 2020, Publix was named one of Fortune's 100 Best Companies to Work For, ranking #39. They are one of only eight companies who have made the list every year since its inception in 1998.",,,North America
