,model,date,picture,manufacturer,class,length,height,width,picture_url,picture_thumb,description,picture_url_local,picture_thumb_local
<Citroën_Xsara_Picasso>,Citroën Xsara Picasso,1999,Citroen Xsara Picasso front 20080705.jpg,Citroën,Compact MPV (M),4276 mm,1637 mm,1751 mm,https://upload.wikimedia.org/wikipedia/commons/6/68/Citroen_Xsara_Picasso_front_20080705.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Citroen_Xsara_Picasso_front_20080705.jpg/250px-Citroen_Xsara_Picasso_front_20080705.jpg,"The Citroën Xsara Picasso 
is a five door compact MPV, produced by Citroën from 1999 to 2010. The model was facelifted in the beginning of 2004, with modifications to the front and rear design, changing from black bumpers to colour matched paint, with bright inserts and painted sidestrips, known as Picasso 2. From November 2006, a new shape was introduced, known as C4 Picasso.
At the time of its release, two trim levels  were available, LX and SX, with a choice of three four cylinder engines; a 1.6 and 1.8 litre petrols, and a 2.0 litre HDI diesel engine, all shared with the smaller Citroën Xsara. A new 1.6 HDI diesel version, with improved fuel efficiency, was launched as part of the revised range in 2004.Later designations were 'Desire', 'VTR', and the range topping 'Exclusive' trim level, some with electric glass sunroof, was introduced to the United Kingdom in the end of 2000. On all models, the front seat backs have fold down tables, and the rear seats can be removed to create extensive internal space for transportation of bulky items similar to a small van.",00121.jpg,00121.jpg
<DS_3>,DS 3,2009,2010 Citroën DS3 (MY10) 1.6 VTI DStyle Plus 3-door hatchback (2016-01-05) 01.jpg,DS Automobiles,Supermini (B),3950 mm,1460 mm,1710 mm,https://upload.wikimedia.org/wikipedia/commons/c/c7/2010_Citro%C3%ABn_DS3_%28MY10%29_1.6_VTI_DStyle_Plus_3-door_hatchback_%282016-01-05%29_01.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/2010_Citro%C3%ABn_DS3_%28MY10%29_1.6_VTI_DStyle_Plus_3-door_hatchback_%282016-01-05%29_01.jpg/250px-2010_Citro%C3%ABn_DS3_%28MY10%29_1.6_VTI_DStyle_Plus_3-door_hatchback_%282016-01-05%29_01.jpg,"The DS 3 is a supermini car, produced by the French manufacturer Citroën from 2009 to 2019 and officially launched in January 2010. This was the first car in the new DS range from Citroën (pronounced déesse, which is French for goddess). Its design was inspired by the concept car Citroën DS Inside.The DS3 range was facelifted in 2016, along with the DS 4 and DS 5, and relaunched without Citroën badges as part of DS Automobiles' separation from Citroën.The Citroën DS3 was named ""2010 Car of the Year"" by Top Gear, awarded first supermini four times in a row by the JD Power Satisfaction Survey UK and second most efficient supermini (Citroën DS3 1.6 e-HDi 115 Airdream: 63.0 mpg‑imp (4.48 l/100 km)) by What Car? behind the Citroën C3. In 2013, it was again the most sold premium subcompact car with 40% of these market shares in Europe.",00122.jpg,00122.jpg
<DS_4>,DS 4,2011,Citroën DS4 (MSP16).jpg,DS Automobiles,Compact car (C),4284 mm,1535 mm,1810 mm,https://upload.wikimedia.org/wikipedia/commons/8/80/Citro%C3%ABn_DS4_%28MSP16%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Citro%C3%ABn_DS4_%28MSP16%29.jpg/250px-Citro%C3%ABn_DS4_%28MSP16%29.jpg,"The DS 4 is a compact car, and it is the second model in the then new premium (luxury vehicle) DS sub brand created by Citroën, now an independent brand. It was officially launched internationally in March 2011, but already on sale in some countries by the end of 2010. Based upon the Citroën C4 II, it features raised suspension to resemble a compact SUV and repositioned door handles to give a coupé like silhouette. 
The rear windows are fixed, and do not slide down or open outwards.At launch, the petrol engines that powered the DS 4 were all a product of a collaboration between PSA and BMW, all being 1,598 cc four cylinder, 16 valve units. The base VTi 120 was normally aspirated and put out 120 PS (88 kW). As its name implies it came with variable valve timing. The next engine up was the THP 155, essentially a turbo charged version of the VTi. 
It put out 156 PS (115 kW) thanks to a twin scroll turbocharger and dual overhead cams, and used a six speed manual transmission. The most powerful engine option was the THP 200, a variation of the THP 155, but with an output of 200 PS (147 kW). Citroën initially offered two diesel engines in the DS 4 – the HDi 110, a 1,560 cc four cylinder that put out 112 PS (82 kW) and the four cylinder HDi 160 also found in the sedan Citroën C5. 
It has a displacement of 1,997 cc and put out 163 PS (120 kW).
The current engine line up differs significantly. The DS 4 is available with Start&Stop technology and Citroën says that the battery has been optimised to withstand up to 600,000 starting cycles. The boot is 385 litres or 1021 litres with the back seats folded down. The DS 4's styling has been very well received by the international press.
It was elected Most Beautiful Car of the Year at the International Automobile Festival, beating BMW’s new F10 5 Series and Honda's new CR-Z hybrid car. German magazine Auto Bild, and its partner magazines throughout Europe, have given it first prize for design, in its category in the contest Design Award. Production of the DS 4 ended in April 2018.",00123.jpg,00123.jpg
<DS_5>,DS 5,2011,DS 5 facelift 02 China 2016-04-16.jpg,Citroën,Compact executive car (D),4530 mm,1513 mm,2128 mm,https://upload.wikimedia.org/wikipedia/commons/c/c9/DS_5_facelift_02_China_2016-04-16.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/DS_5_facelift_02_China_2016-04-16.jpg/250px-DS_5_facelift_02_China_2016-04-16.jpg,"The  DS 5 is a compact executive hatchback which was designed and developed by the French automaker Citroën, and launched in the market in Europe in November 2011. It was the third model in the premium sub brand DS. Released as the Citroën DS5, the car was relaunched as the DS 5 in 2015, following Citroen's decision to rebadge its DS models and market them under the brand DS.",00124.jpg,00124.jpg
<DS_6>,DS 6,2014,DS 6 01 China 2015-04-08.jpg,DS Automobiles,Compact SUV (J),4553 mm,1588 mm,1858 mm,https://upload.wikimedia.org/wikipedia/commons/6/67/DS_6_01_China_2015-04-08.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/DS_6_01_China_2015-04-08.jpg/250px-DS_6_01_China_2015-04-08.jpg,"The DS 6WR is a subcompact luxury crossover SUV designed by the French automaker DS Automobiles specifically for the market in Asia. It was the second model of DS, then a sub brand, to not feature the Citroën logo, following the launch of the DS 5LS earlier in 2014. First announced to the public in April 2014 as the DS 6WR, it was released for sale in the autumn of 2014.It is powered by a four-cylinder 1.6 litre (1598 cc) petrol engine, producing 200 PS (147 kW; 197 bhp) at 5800 rpm and 275 N⋅m (203 lb⋅ft) torque at 1700 to 4500 rpm. It is claimed to accelerate from 0–100 km in 8.4 seconds.",00125.jpg,00125.jpg
<Dacia_Lodgy>,Dacia Lodgy,2012,Geneva MotorShow 2013 - Dacia Lodgy.jpg,Dacia,Compact MPV (M),4498 mm,1680 mm,1751 mm,https://upload.wikimedia.org/wikipedia/commons/9/96/Geneva_MotorShow_2013_-_Dacia_Lodgy.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Geneva_MotorShow_2013_-_Dacia_Lodgy.jpg/250px-Geneva_MotorShow_2013_-_Dacia_Lodgy.jpg,"The Dacia Lodgy is a compact multi-purpose vehicle (MPV) developed by the Romanian manufacturer Dacia, officially launched at the 2012 Geneva Motor Show.",00126.jpg,00126.jpg
<Dacia_Logan>,Dacia Logan,2004,Dacia Logan II (front quarter).JPG,Dacia,Small family car,4346 mm,1517 mm,1733 mm,https://upload.wikimedia.org/wikipedia/commons/9/95/Dacia_Logan_II_%28front_quarter%29.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Dacia_Logan_II_%28front_quarter%29.JPG/250px-Dacia_Logan_II_%28front_quarter%29.JPG,"The Dacia Logan is a compact/small family car (C-segment in Europe) produced by both the French car manufacturer Renault and its Romanian subsidiary Dacia since mid-2004. It is currently in its second generation and it has been produced as a sedan, station wagon, notchback or pick-up. It has been manufactured at Dacia's automobile plant in Mioveni, Romania, and at Renault (or its partners') plants in Morocco, Brazil, Argentina, Turkey, Russia, Colombia, Iran and India. The pick-up was also produced at Nissan's plant in Rosslyn, South Africa.
It has also been marketed as the Renault Logan, Nissan Aprio, Mahindra Verito, Renault Tondar 90, Lada Largus (the MCV), Nissan NP200 (the pick-up) or the Renault Symbol (as the third generation model), depending on the existing presence or positioning of the Renault brand.
Since its launch, the Dacia Logan is estimated to have reached over 4 million sales worldwide.",00127.jpg,00127.jpg
<Dacia_Sandero>,Dacia Sandero,2007,2013 Dacia Sandero II front.JPG,Dacia,Supermini,4057 mm,1523 mm,1746 mm,https://upload.wikimedia.org/wikipedia/commons/8/88/2013_Dacia_Sandero_II_front.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/2013_Dacia_Sandero_II_front.JPG/250px-2013_Dacia_Sandero_II_front.JPG,"The Dacia Sandero is a supermini subcompact car produced and engineered jointly by the French manufacturer Renault and its Romanian subsidiary Dacia since Autumn 2007, currently at its second generation. It has been also marketed as the Renault Sandero in certain markets, such as Russia, Egypt, Mexico, Latin America, Sub-Saharan Africa and South America. It was introduced since September 2007, and is the second model of the Dacia brand to be based on the Logan platform. It is also produced in Iran by Pars Khodro and it has been marketed as the Renault Sandero.",00128.jpg,00128.jpg
<Daewoo_Lacetti>,Daewoo Lacetti,2002,Daewoo Nubira Sedan front.jpg,Daewoo,Compact car,177.2 in,56.9 in,67.9 in,https://upload.wikimedia.org/wikipedia/commons/d/d7/Daewoo_Nubira_Sedan_front.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Daewoo_Nubira_Sedan_front.jpg/250px-Daewoo_Nubira_Sedan_front.jpg,"The Daewoo Lacetti is a compact car manufactured and marketed globally by GM Korea since 2002.
The first-generation Lacetti was available as a four-door sedan and five-door station wagon, styled by Pininfarina—and five-door hatchback styled by Giorgetto Giugiaro. The sedan and wagon were marketed as the Suzuki Forenza in North America. The hatchback, was introduced in 2004 and marketed as Daewoo Lacetti5 in South Korea, Suzuki Reno in the United States,  Daewoo Nubira in Europe, and elsewhere also as the Chevrolet Nubira and Lacetti.
In November 2008, the second-generation Lacetti was launched as the Daewoo Lacetti Premiere, a badge-engineered version of the Chevrolet Cruze, co-developed by GM Daewoo, Holden, and General Motors. It was marketed under the Daewoo marque until the beginning of 2011, when the brand was discontinued, and was thereafter marketed under the Chevrolet and Holden brands.
The name Lacetti derives from the Latin ""Lacertus"", meaning ""youthful"".",00129.jpg,00129.jpg
<Daewoo_Lanos>,Daewoo Lanos,1997,2001 Daewoo Lanos (T150) Sport 3-door hatchback (2010-06-17) 01.jpg,Daewoo,Subcompact car (B/C),4074 mm,1432 mm,1678 mm,https://upload.wikimedia.org/wikipedia/commons/9/96/2001_Daewoo_Lanos_%28T150%29_Sport_3-door_hatchback_%282010-06-17%29_01.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/2001_Daewoo_Lanos_%28T150%29_Sport_3-door_hatchback_%282010-06-17%29_01.jpg/250px-2001_Daewoo_Lanos_%28T150%29_Sport_3-door_hatchback_%282010-06-17%29_01.jpg,"The Daewoo Lanos is a subcompact car produced by the South Korean manufacturer Daewoo from 1997 to 2002, and thereafter produced under license agreements in various countries worldwide. It has also been marketed as the Daewoo Sens, ZAZ Sens and ZAZ Lanos in Ukraine, Doninvest Assol and ZAZ Chance in Russia, FSO Lanos in Poland, or Chevrolet Lanos in Ukraine, Russia, and Egypt.
It was designed by Giorgetto Giugiaro and initially featured three body styles: three-door and five-door hatchbacks and a four-door sedan. The Lanos was designated the T100 model code at launch; the T150 code applies to the updated models introduced in 1999. In 2006, a panel van version, developed in Ukraine by ZAZ, was also introduced. The Daewoo Lanos was designed to replace the Daewoo Nexia in the Daewoo line-up and was itself replaced by the Daewoo Kalos.
Production of Daewoo Lanos ended in 2020.",00130.jpg,00130.jpg
<Daewoo_Tosca>,Daewoo Tosca,2006,2008 Chevrolet Epica (V250) LS sedan (2016-01-07).jpg,Daewoo,Mid-size (D),4805 mm,1450 mm,1810 mm,https://upload.wikimedia.org/wikipedia/commons/4/4f/2008_Chevrolet_Epica_%28V250%29_LS_sedan_%282016-01-07%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/2008_Chevrolet_Epica_%28V250%29_LS_sedan_%282016-01-07%29.jpg/250px-2008_Chevrolet_Epica_%28V250%29_LS_sedan_%282016-01-07%29.jpg,"The Daewoo Tosca is a mid-size car designed by Daewoo in South Korea and marketed by Chevrolet as the Chevrolet Epica and Chevrolet Tosca, while Holden marketed it as the Holden Epica. Codenamed V250, it replaces the Daewoo Magnus and its derivatives. The Chevrolet Epica was officially launched in Europe at the 2006 Geneva Motor Show. The Tosca is noteworthy in that it is available with transversely-mounted straight-six engines. Contrary to the preceding models (V100 Leganza and V200 Magnus), which were styled by Giugiaro, the V250 was designed entirely in-house.Due to the Daewoo brand being renamed as Chevrolet for South Korea, the Daewoo Tosca ended production in early 2011 in South Korea. Production in China started in March 2007 and ended in 2014. Tosca was replaced by the Chevrolet Malibu which entered production in South Korea for the first time.",00131.jpg,00131.jpg
<Daihatsu_Cast>,Daihatsu Cast,2015,Daihatsu_Cast_ACTIVA_G“SA_Ⅱ”_LA250S.jpg,Daihatsu,Kei car,3395 mm,1630 mm,1475 mm,https://upload.wikimedia.org/wikipedia/commons/b/b5/Daihatsu_Cast_ACTIVA_G%E2%80%9CSA_%E2%85%A1%E2%80%9D_LA250S.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Daihatsu_Cast_ACTIVA_G%E2%80%9CSA_%E2%85%A1%E2%80%9D_LA250S.jpg/250px-Daihatsu_Cast_ACTIVA_G%E2%80%9CSA_%E2%85%A1%E2%80%9D_LA250S.jpg,"The Daihatsu Cast (Japanese: ダイハツ・キャスト, Daihatsu Kyasuto) is a kei car built by the Japanese manufacturer Daihatsu since 2015. It comes in three variations designated ""Style"", ""Activa"" and ""Sport"". Each can be equipped with either front- or four-wheel drive configuration.The Cast is also sold by Toyota as the Toyota Pixis Joy (Japanese: トヨタ・ピクシスジョイ, Toyota Pikushisu Joi), which was launched on 31 August 2016.",00132.jpg,00132.jpg
<Daihatsu_Copen>,Daihatsu Copen,2002,Daihatsu_Copen_Robe.jpg,Daihatsu,Kei car,3395 mm,1245 mm,1475 mm,https://upload.wikimedia.org/wikipedia/commons/8/88/Daihatsu_Copen_Robe.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Daihatsu_Copen_Robe.jpg/250px-Daihatsu_Copen_Robe.jpg,"The Daihatsu Copen (Japanese: ダイハツ・コペン, Daihatsu Kopen) is a 2-door kei car built by the Japanese car company Daihatsu. It debuted at the 1999 Tokyo Motor Show, as the Daihatsu Copen concept. The second generation model debuted as the Kopen (Future Included) at the 2013 Tokyo Motor Show.",00133.jpg,00133.jpg
<Daihatsu_Mira>,Daihatsu Mira,1980,cuore.jpg,Daihatsu,Kei car or City car,3395 mm,1500 mm,1475 mm,https://upload.wikimedia.org/wikipedia/commons/b/b6/Cuore.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Cuore.jpg/250px-Cuore.jpg,"The Daihatsu Mira (also known as the Cuore, Domino, and more recently Charade), is a kei car-type vehicle built by the Japanese car maker Daihatsu. It comes with a variety of options and chassis variations, with the latest variant having four models: ""Mira"", ""Mira AVY"", ""Mira Gino"" and ""Mira VAN"". The Mira is the latest successor to the line of cars begun with the Daihatsu Fellow of 1966 and was originally introduced as the commercial version of the Cuore. Outside Japan, the Mira has also been offered with an 850 cc or 1000 cc engine. In Australia, the two-seater version was marketed as the Daihatsu Handivan and later as the Daihatsu Handi. The name ""mira"" is Latin meaning ""goal"" or ""purpose.""",00134.jpg,00134.jpg
<Daihatsu_Mira_Cocoa>,Daihatsu Mira Cocoa,2009,Daihatsu-miracocoa.jpg,Daihatsu,Kei car,3395 mm,1530 mm,1495 mm,https://upload.wikimedia.org/wikipedia/commons/9/91/Daihatsu-miracocoa.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Daihatsu-miracocoa.jpg/250px-Daihatsu-miracocoa.jpg,"The Daihatsu Mira Cocoa (Japanese: ダイハツ・ミラココア, Daihatsu Mira Kokoa) is a kei car built by the Japanese automaker Daihatsu from 2009 to 2018. It was launched in August 2009 to the Japanese domestic market and went on sale in September 2009. It replaces the Mira Gino in the Daihatsu's lineup, complete with retro-inspired styling. The grade levels are L, X, Plus L, Plus X and range-topping Plus G, with a 658 cc KF-VE inline-three petrol engine. Its main competitor is the Suzuki Alto Lapin, with both having distinctly retro styling. The model bears a slight resemblance to the Renault 4. The production of the Mira Cocoa ended in March 2018 and it was later discontinued alongside the L275 series Mira in Japan on the same month.
The name ""Cocoa"" comes from the cocoa beverage and expresses the car that settles down from the warm atmosphere when drinking cocoa.",00135.jpg,00135.jpg
<Daihatsu_Move>,Daihatsu Move,1995,5th Daihatsu Move Custom.jpg,Daihatsu,Kei car,3395 mm,1630 mm,1475 mm,https://upload.wikimedia.org/wikipedia/commons/6/62/5th_Daihatsu_Move_Custom.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/5th_Daihatsu_Move_Custom.jpg/250px-5th_Daihatsu_Move_Custom.jpg,"The Daihatsu Move (Japanese: ダイハツ・ムーヴ, Daihatsu Mūvu) is a kei car/city car manufactured by the Japanese automaker Daihatsu since August 1995. The Move is Daihatsu's response to the similarly designed Suzuki Wagon R that was introduced two years earlier in 1993. The Move is built upon the chassis of the Mira but with a taller body. Daihatsu had successfully sold 500,000 units of the Move during its first three years of production.",00136.jpg,00136.jpg
<Daihatsu_Sigra>,Daihatsu Sigra,2016,Daihatsu Sigra 1.0 M - Gaikindo Indonesia International Auto Show 2016 - Front view - August 21 2016.jpg,Astra Daihatsu,Mini MPV,4070 mm,1600 mm,1655 mm,https://upload.wikimedia.org/wikipedia/commons/8/8d/Daihatsu_Sigra_1.0_M_-_Gaikindo_Indonesia_International_Auto_Show_2016_-_Front_view_-_August_21_2016.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Daihatsu_Sigra_1.0_M_-_Gaikindo_Indonesia_International_Auto_Show_2016_-_Front_view_-_August_21_2016.jpg/250px-Daihatsu_Sigra_1.0_M_-_Gaikindo_Indonesia_International_Auto_Show_2016_-_Front_view_-_August_21_2016.jpg,"The Daihatsu Sigra is a 7-seat mini MPV designed by Daihatsu and manufactured by Astra Daihatsu Motor in Indonesia since 2016 to be sold exclusively in the country. It is built on lengthened Ayla's platform and positioned below the Xenia as a more affordable MPV option for the Indonesian market, where the demands for 3-row MPVs are high. It is also sold by Toyota as the Toyota Calya. The cars were built to meet the Low Cost Green Car regulation by the Indonesian government that abolished the luxury vehicle tax to the cars.
The Sigra was previewed by UFC, UFC2 and UFC 3 concept cars that was shown in 2012, 2013 and 2014 respectively. The production model was unveiled on 2 August 2016 alongside the Calya and launched at the 24th Gaikindo Indonesia International Auto Show on 11 August 2016. Both cars are manufactured at the Karawang plant, which the company claims the cars have 94% local content.The name ""Sigra"" was taken from the Sanskrit word meaning ""fast response"", while ""Calya"" means ""perfection"".",00137.jpg,00137.jpg
<Daihatsu_Sonica>,Daihatsu Sonica,2006,Daihatsu Sonica.jpg,Daihatsu,Kei car,3395mm,1470mm,1475mm,https://upload.wikimedia.org/wikipedia/commons/6/6f/Daihatsu_Sonica.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Daihatsu_Sonica.jpg/250px-Daihatsu_Sonica.jpg,"The Daihatsu Sonica (Japanese: ダイハツ・ソニカ, Daihatsu Sonika) is a kei car produced by the Japanese manufacturer Daihatsu that was sold between 2006 and 2009.
Daihatsu began producing the Sonica in 2006, after having revealed it as a concept car named ""SK Tourer"" earlier in the same year. It was available on the Japanese market for ¥1,207,500 – ¥1,559,250 in three grade levels: R, RS and RS Limited. The Sonica was discontinued in April 2009.
The ""Sonica"" name is derived from the word ""sonic"".",00138.jpg,00138.jpg
<Dodge_Caravan>,Dodge Caravan,1984,2nd-Dodge-Caravan.jpg,Dodge,Minivan,202.5 in,68.9 in,78.6 in,https://upload.wikimedia.org/wikipedia/commons/3/3c/2nd-Dodge-Caravan.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/2nd-Dodge-Caravan.jpg/250px-2nd-Dodge-Caravan.jpg,"The Dodge Caravan (also known as the Dodge Grand Caravan) was a series of minivans that was produced from 1984 to 2020. Marketed as the Dodge version of the Chrysler minivans, the Caravan was introduced alongside the Plymouth Voyager and also sold by Chrysler as the Chrysler Town & Country until its 2017 replacement by the Chrysler Pacifica.
Largely marketed in the United States and Canada, the Dodge Caravan was marketed in Europe and other international markets as the Chrysler Voyager and Chrysler Caravan. From 2009 to 2014, Volkswagen marketed the Volkswagen Routan, a rebadged version of the Dodge Grand Caravan, while Ram Trucks marketed a commercial version of the Caravan as the Ram C/V Tradesman from 2012 to 2015.
The Dodge Caravan was assembled at Windsor Assembly, in Windsor, Ontario, Canada; prior to 2010, Saint Louis Assembly (in Fenton, Missouri) was an additional source of production. Since their introduction in late 1983, over 14.6 million Chrysler minivans (including rebadged variants and export versions) have been sold worldwide.After five generations and 36 model year runs, the Dodge Caravan was retired at the end of the 2020 model year run and was replaced by the sixth generation Chrysler Voyager. Production of the Dodge Caravan ended on August 21, 2020. Unlike the Chrysler Town & Country nameplate, however, the Grand Caravan nameplate was not retired and continues to be used under the Chrysler brand to market a version of the Voyager in Canada.",00139.jpg,00139.jpg
<Dodge_Charger_(LX)>,Dodge Charger (LX),2005,Dodge Charger sedan.jpg,DaimlerChrysler,Full-size,5077 mm,1482 mm,1905 mm,https://upload.wikimedia.org/wikipedia/commons/9/97/Dodge_Charger_sedan.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Dodge_Charger_sedan.jpg/250px-Dodge_Charger_sedan.jpg,,00140.jpg,00140.jpg
<Dodge_Dart_(PF)>,Dodge Dart (PF),2012,Dodge Dart 2.0 Rallye 2014 (14217526095).jpg,Dodge,Compact car (C-segment),183.9 in,57.7 in,72.0 in,https://upload.wikimedia.org/wikipedia/commons/d/da/Dodge_Dart_2.0_Rallye_2014_%2814217526095%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Dodge_Dart_2.0_Rallye_2014_%2814217526095%29.jpg/250px-Dodge_Dart_2.0_Rallye_2014_%2814217526095%29.jpg,"The Dodge Dart is a transverse front-engine, front-wheel drive, four-door compact sedan that was manufactured and marketed by FCA US LLC, a subsidiary of Fiat Chrysler Automobiles. The automobile made its debut at the 2012 North American International Auto Show in Detroit, Michigan. In some non-US markets, the Dodge Dart is sold as the Fiat Viaggio.
Resurrecting a nameplate used by Dodge for model years 1960-1976 for a succession of full-size, mid-size and finally compact models, the Dart (PF) was the brand's first compact sedan since 2005, when the Neon was discontinued.",00141.jpg,00141.jpg
<Dodge_Durango>,Dodge Durango,1997,2nd-Dodge-Durango.jpg,FCA US,Mid-size SUV,199.8 in,70.9 in,76.0 in,https://upload.wikimedia.org/wikipedia/commons/c/cb/2nd-Dodge-Durango.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/2nd-Dodge-Durango.jpg/250px-2nd-Dodge-Durango.jpg,"The Dodge Durango is a  sport utility vehicle (SUV) produced by Dodge. The first two generations were very similar in that both were based on the Dodge Dakota, both featured a body-on-frame construction and both were produced at the Newark Assembly Plant in Newark, Delaware.
The third-generation Durango is built on the same platform as the Jeep Grand Cherokee, features unibody construction, and has been assembled at the Jefferson North Assembly Plant in Detroit, Michigan, since late 2010. It is currently the only SUV built by Dodge since the discontinuation of the Dodge Journey crossover as part of Dodge’s move to a performance-focused brand.",00142.jpg,00142.jpg
<Dodge_Journey>,Dodge Journey,2008,2017 Dodge Journey Crossroad (Joshua Tree).jpg,Chrysler LLC,Mid-size crossover SUV,192.4 in,66.6 in,72.2 in,https://upload.wikimedia.org/wikipedia/commons/e/e6/2017_Dodge_Journey_Crossroad_%28Joshua_Tree%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/2017_Dodge_Journey_Crossroad_%28Joshua_Tree%29.jpg/250px-2017_Dodge_Journey_Crossroad_%28Joshua_Tree%29.jpg,"The Dodge Journey is a mid-size crossover SUV manufactured and marketed by FCA's Dodge brand since model year 2009, with a facelift for the 2011 model year. With styling by Ryan Nagode, the Journey is marketed globally in both left and right hand drive. In many markets, the SUV was marketed as the Fiat Freemont.",00143.jpg,00143.jpg
<Dodge_Nitro>,Dodge Nitro,2006,Dodge Nitro .jpg,Dodge,Compact SUV,178.9 in,69.9 in,73.1 in,https://upload.wikimedia.org/wikipedia/commons/b/b7/Dodge_Nitro_.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Dodge_Nitro_.jpg/250px-Dodge_Nitro_.jpg,"The Dodge Nitro is a compact SUV that was produced by Dodge from the 2007 to the 2012 model year to compete with the likes of the Ford Escape and Hyundai Tucson. The Nitro shared its platform with the second generation Jeep Liberty. It was assembled at the Toledo North Assembly Plant in Toledo, Ohio. The Jeep facility is part of an automobile complex which includes the Toledo South Assembly Plant, home to Jeep since the 1940s.",00144.jpg,00144.jpg
<Emgrand_EC7>,Emgrand EC7,2009,Emgrand_EC7_01_China_2012-04-15.jpg,Emgrand,Large family car,4635 mm,1470 mm,1789 mm,https://upload.wikimedia.org/wikipedia/commons/3/3d/Emgrand_EC7_01_China_2012-04-15.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Emgrand_EC7_01_China_2012-04-15.jpg/250px-Emgrand_EC7_01_China_2012-04-15.jpg,"The Emgrand EC7 is a compact car produced by the Emgrand division of the Chinese automaker Geely. After the discontinuation of the ""Emgrand"" brand, Emgrand EC7 was renamed to Geely Emgrand in 2014. The second generation Geely Emgrand was shown to public in 2014 Beijing Auto Show.",00145.jpg,00145.jpg
<Eurovans>,Eurovans,1994,Ulysse 2.JPG,Sevel Nord,Large MPV (M),4727 mm,1752 mm,1854 mm,https://upload.wikimedia.org/wikipedia/commons/4/42/Ulysse_2.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Ulysse_2.JPG/250px-Ulysse_2.JPG,"The Eurovans are a family of large MPVs from the Citroën, Peugeot, Fiat and Lancia marques that were produced at the jointly owned Sevel Nord factory in France. The term Eurovan was not used by the brands themselves in sales literature, but rather by the motoring press to refer to the vans collectively. It was launched in March 1994, and production ceased in November 2010 for the Fiat and Lancia models, and in June 2014 for the Citroën and Peugeot siblings.The Eurovans differ little technically and visually, being a prime example of badge engineering. They share mechanicals and body structure with the Sevel Nord light commercial vans, the Citroën Jumpy (Dispatch), Fiat Scudo and Peugeot Expert.The first generation Eurovans were marketed as the Citroën Evasion (Citroen Synergie in the UK), Fiat Ulysse, Lancia Zeta and Peugeot 806. The second generation models were all renamed, except the Fiat Ulysse, with the nameplates now Citroën C8, Lancia Phedra and Peugeot 807.",00146.jpg,00146.jpg
<Ferrari_458>,Ferrari 458,2009,FerrariSP12EC.jpg,Ferrari,Sports car (S),4527 mm,1213 mm,1937 mm,https://upload.wikimedia.org/wikipedia/commons/a/ac/FerrariSP12EC.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/FerrariSP12EC.jpg/250px-FerrariSP12EC.jpg,"The Ferrari 458 Italia (Type F142) is a mid-engine sports car produced by the Italian automobile manufacturer Ferrari.  The 458 replaced the F430, and was first officially unveiled at the 2009 Frankfurt Motor Show. It was succeeded by the 488, which was unveiled at the 2015 Geneva Motor Show.",00147.jpg,00147.jpg
